# Source: BMVI via IFG, answered on 2015-07-07: https://fragdenstaat.de/anfrage/registrierte-domains-in-maschinenlesbarer-form/
beirat-raumentwicklung.de,Bundesministerium für Verkehr und digitale Infrastruktur
bmvbs.de,Bundesministerium für Verkehr und digitale Infrastruktur
bmvi.de,Bundesministerium für Verkehr und digitale Infrastruktur
bmvi.eu,Bundesministerium für Verkehr und digitale Infrastruktur
bmvi.info,Bundesministerium für Verkehr und digitale Infrastruktur
bmvi.net,Bundesministerium für Verkehr und digitale Infrastruktur
bmvi.org,Bundesministerium für Verkehr und digitale Infrastruktur
breitbandatlas.de,Bundesministerium für Verkehr und digitale Infrastruktur
breitband-atlas.de,Bundesministerium für Verkehr und digitale Infrastruktur
bundesbauminister.com,Bundesministerium für Verkehr und digitale Infrastruktur
bundesbauminister.de,Bundesministerium für Verkehr und digitale Infrastruktur
bundesbauminister.net,Bundesministerium für Verkehr und digitale Infrastruktur
bundesbauminister.org,Bundesministerium für Verkehr und digitale Infrastruktur
bundesbauministerium.com,Bundesministerium für Verkehr und digitale Infrastruktur
bundesbauministerium.de,Bundesministerium für Verkehr und digitale Infrastruktur
bundesbauministerium.net,Bundesministerium für Verkehr und digitale Infrastruktur
bundesbauministerium.org,Bundesministerium für Verkehr und digitale Infrastruktur
bundesinfrastrukturministerium.de,Bundesministerium für Verkehr und digitale Infrastruktur
bundesverkehrsminister.com,Bundesministerium für Verkehr und digitale Infrastruktur
bundesverkehrsminister.de,Bundesministerium für Verkehr und digitale Infrastruktur
bundesverkehrsminister.net,Bundesministerium für Verkehr und digitale Infrastruktur
bundesverkehrsminister.org,Bundesministerium für Verkehr und digitale Infrastruktur
bundesverkehrsministerium.com,Bundesministerium für Verkehr und digitale Infrastruktur
bundesverkehrsministerium.de,Bundesministerium für Verkehr und digitale Infrastruktur
bundesverkehrsministerium.net,Bundesministerium für Verkehr und digitale Infrastruktur
bundesverkehrsministerium.org,Bundesministerium für Verkehr und digitale Infrastruktur
digitales-testfeld-autobahn.de,Bundesministerium für Verkehr und digitale Infrastruktur
infrastrukturministerium.de,Bundesministerium für Verkehr und digitale Infrastruktur
mks-dialog.de,Bundesministerium für Verkehr und digitale Infrastruktur
oberpruefungsamt.de,Bundesministerium für Verkehr und digitale Infrastruktur
punktereform.de,Bundesministerium für Verkehr und digitale Infrastruktur
technisches-referendariat.de,Bundesministerium für Verkehr und digitale Infrastruktur
verkehrsminister.de,Bundesministerium für Verkehr und digitale Infrastruktur
verkehrsministerium.de,Bundesministerium für Verkehr und digitale Infrastruktur
zukunftbreitband.de,Bundesministerium für Verkehr und digitale Infrastruktur
zukunft-breitband.de,Bundesministerium für Verkehr und digitale Infrastruktur
a9digital.de,Bundesministerium für Verkehr und digitale Infrastruktur
a9-digital.de,Bundesministerium für Verkehr und digitale Infrastruktur
bauminister.de,Bundesministerium für Verkehr und digitale Infrastruktur
bundesministerium-fuer-stadtentwicklung.de,Bundesministerium für Verkehr und digitale Infrastruktur
bvwp2015.de,Bundesministerium für Verkehr und digitale Infrastruktur
bvwp-2015.de,Bundesministerium für Verkehr und digitale Infrastruktur
digitaleautobahn.de,Bundesministerium für Verkehr und digitale Infrastruktur
digitale-autobahn.de,Bundesministerium für Verkehr und digitale Infrastruktur
digitalestestfeld.de,Bundesministerium für Verkehr und digitale Infrastruktur
digitales-testfeld.de,Bundesministerium für Verkehr und digitale Infrastruktur
dta9.de,Bundesministerium für Verkehr und digitale Infrastruktur
energie-fuer-morgen.de,Bundesministerium für Verkehr und digitale Infrastruktur
mo-ro.net,Bundesministerium für Verkehr und digitale Infrastruktur
mo-ro.org,Bundesministerium für Verkehr und digitale Infrastruktur
netzallianzdeutschland.de,Bundesministerium für Verkehr und digitale Infrastruktur
netzallianz-digitales-deutschland.de,Bundesministerium für Verkehr und digitale Infrastruktur
radwegdeutscheeinheit.de,Bundesministerium für Verkehr und digitale Infrastruktur
radweg-deutsche-einheit.de,Bundesministerium für Verkehr und digitale Infrastruktur