# Source: Bundestag via IFG, answered on 2015-10-14: https://fragdenstaat.de/anfrage/online-und-social-media-prasenz-des-deutschen-bundestages/
blickpunkt-bundestag.de,Bundestag
blickpunktbundestag.de,Bundestag
bspc2007.de,Bundestag
bundeshaus.de,Bundestag
bundestag-magazin.de,Bundestag
bundestag-online.de,Bundestag
bundestag-und-schule.de,Bundestag
bundestag.de,Bundestag
bundestag.eu,Bundestag
bundestag.mobi,Bundestag
bundestagmagazin.de,Bundestag
bundestagsarena.de,Bundestag
bundestagspraesident.de,Bundestag
bundestagspraesidentin.de,Bundestag
bundesversammlung.de,Bundestag
das-parlament.de,Bundestag
datenhandbuch-bundestag.de,Bundestag
dbt-internet.de,Bundestag
dbtg-newsletter.de,Bundestag
dbtg.eu,Bundestag
dbtg.tv,Bundestag
derbevoelkerung.de,Bundestag
deutscher-bundestag.de,Bundestag
deutscher-bundestag.eu,Bundestag
deutscherbundestag.de,Bundestag
deutscherdom.de,Bundestag
deutsches-parlament.eu,Bundestag
dip-online.de,Bundestag
dip21.de,Bundestag
e-bundestag.de,Bundestag
e-goverment.eu,Bundestag
e-parliament.de,Bundestag
ein-und-ausblicke.de,Bundestag
eparlament.de,Bundestag
glasklar-bundestag.de,Bundestag
gp-habitat.de,Bundestag
gph-habitat.de,Bundestag
internetenquete.de,Bundestag
jakob-kaiser-haus.de,Bundestag
kinderkommission.de,Bundestag
kunst-im-bundestag.de,Bundestag
kuppel-kucker.de,Bundestag
kuppel-kucker.info,Bundestag
kuppel-kucker.org,Bundestag
kuppelkucker.de,Bundestag
kuppelkucker.info,Bundestag
kuppelkucker.org,Bundestag
marie-elisabeth-lueders-haus.de,Bundestag
mauer-mahnmal.de,Bundestag
mauermahnmal.de,Bundestag
mit-mischen.de,Bundestag
mitmischen.de,Bundestag
mitmischen.tv,Bundestag
ostseeparlamentarierkonferenz.de,Bundestag
ostseeparlamentarierkonferenz2007.de,Bundestag
parlaments-profi.de,Bundestag
parlamentsfernsehen.de,Bundestag
parlamentsprofi.de,Bundestag
paul-loebe-haus.de,Bundestag
projekt-e-demokratie.de,Bundestag
reichstag.eu,Bundestag
reichstagsgebaeude.de,Bundestag
reichstagsgebaeude.eu,Bundestag
w3-indikatoren.de,Bundestag
w3-wohlstandsindikatoren.de,Bundestag
wdrei-indikatoren.de,Bundestag
wdrei-wohlstandsindikatoren.de,Bundestag
wehrbeauftragter.de,Bundestag
whochdrei-indikatoren.de,Bundestag
whochdrei-wohlstandsindikatoren.de,Bundestag
zehnte-ddr-volkskammer.de,Bundestag