# Source: DWD via IFG, answered on 2015-07-17: https://fragdenstaat.de/anfrage/registrierte-domains-in-maschinenlesbarer-form-2/
agrowetter.de,Deutscher Wetterdienst
agrowetter.eu,Deutscher Wetterdienst
alpenflugwetter.com,Deutscher Wetterdienst
alpenflugwetter.de,Deutscher Wetterdienst
alpenflugwetter.eu,Deutscher Wetterdienst
alpenwetter.eu,Deutscher Wetterdienst
aviation-weather.eu,Deutscher Wetterdienst
ballonwetter.de,Deutscher Wetterdienst
ballonwetter.eu,Deutscher Wetterdienst
briefing4aviation.com,Deutscher Wetterdienst
briefing4aviation.de,Deutscher Wetterdienst
briefing4aviation.eu,Deutscher Wetterdienst
briefing4pilot.com,Deutscher Wetterdienst
briefing4pilot.de,Deutscher Wetterdienst
briefing4pilot.eu,Deutscher Wetterdienst
cerwis.eu,Deutscher Wetterdienst
climatemonitoring.de,Deutscher Wetterdienst
climatemonitoring.eu,Deutscher Wetterdienst
climateservice.eu,Deutscher Wetterdienst
climateservices.de,Deutscher Wetterdienst
climateservices.eu,Deutscher Wetterdienst
cmsaf.eu,Deutscher Wetterdienst
d-klip.de,Deutscher Wetterdienst
deutscher-klimaatlas.de,Deutscher Wetterdienst
deutscher-wetterdienst.com,Deutscher Wetterdienst
deutscher-wetterdienst.de,Deutscher Wetterdienst
deutscher-wetterdienst.eu,Deutscher Wetterdienst
deutscherklimaatlas.de,Deutscher Wetterdienst
deutscherwetterdienst.com,Deutscher Wetterdienst
deutscherwetterdienst.de,Deutscher Wetterdienst
deutscherwetterdienst.eu,Deutscher Wetterdienst
deutsches-klimaportal.de,Deutscher Wetterdienst
deutschesklimaportal.de,Deutscher Wetterdienst
dklip.de,Deutscher Wetterdienst
dwd-shop.de,Deutscher Wetterdienst
dwd-shop.eu,Deutscher Wetterdienst
dwd.bund.de,Deutscher Wetterdienst
dwd.de,Deutscher Wetterdienst
dwd.eu,Deutscher Wetterdienst
esa-cloud-cci.eu,Deutscher Wetterdienst
esa-cloud-cci.info,Deutscher Wetterdienst
esa-cloud-cci.net,Deutscher Wetterdienst
esa-cloud-cci.org,Deutscher Wetterdienst
flugmet.de,Deutscher Wetterdienst
flugmet.eu,Deutscher Wetterdienst
flugwetter-beratung.de,Deutscher Wetterdienst
flugwetter.de,Deutscher Wetterdienst
flugwetter.eu,Deutscher Wetterdienst
flugwetterberatung.de,Deutscher Wetterdienst
gcos.de,Deutscher Wetterdienst
gesundheitswetter.eu,Deutscher Wetterdienst
gisc-germany.eu,Deutscher Wetterdienst
gisc-offenbach.eu,Deutscher Wetterdienst
gruan.org,Deutscher Wetterdienst
gsnmc.eu,Deutscher Wetterdienst
klimadaten.eu,Deutscher Wetterdienst
klimadeutschland.de,Deutscher Wetterdienst
klimagutachten.eu,Deutscher Wetterdienst
klimamonitoring.de,Deutscher Wetterdienst
klimaservices.de,Deutscher Wetterdienst
klimaueberwachung.de,Deutscher Wetterdienst
klimaueberwachung.eu,Deutscher Wetterdienst
kliwas.de,Deutscher Wetterdienst
medizinwetter.eu,Deutscher Wetterdienst
met4aviation.com,Deutscher Wetterdienst
met4aviation.de,Deutscher Wetterdienst
met4aviation.eu,Deutscher Wetterdienst
met4pilot.com,Deutscher Wetterdienst
met4pilot.de,Deutscher Wetterdienst
met4pilot.eu,Deutscher Wetterdienst
meteoalarm.de,Deutscher Wetterdienst
metlis.eu,Deutscher Wetterdienst
naturgefahrenforschung.de,Deutscher Wetterdienst
pc-met.eu,Deutscher Wetterdienst
pcmet.com,Deutscher Wetterdienst
pcmet.de,Deutscher Wetterdienst
pcmet.eu,Deutscher Wetterdienst
pollenflugvorhersage.eu,Deutscher Wetterdienst
raps-benchmark.de,Deutscher Wetterdienst
rccra6.org,Deutscher Wetterdienst
rth-offenbach.eu,Deutscher Wetterdienst
seewis.de,Deutscher Wetterdienst
seewis.eu,Deutscher Wetterdienst
segelflugwetter.de,Deutscher Wetterdienst
segelflugwetter.eu,Deutscher Wetterdienst
trivis.de,Deutscher Wetterdienst
uv-index.de,Deutscher Wetterdienst
uv-index.eu,Deutscher Wetterdienst
vgisc.eu,Deutscher Wetterdienst
wettergefahren.de,Deutscher Wetterdienst
wettergefahren.eu,Deutscher Wetterdienst
wetterlexikon.eu,Deutscher Wetterdienst
wetterwarnungen.eu,Deutscher Wetterdienst
wwis.dwd.de,Deutscher Wetterdienst